accession	status	symbol	title
XM_015470054.1	suppressed	ATG2A	PREDICTED: Bos taurus autophagy related 2A (ATG2A), transcript variant X2, mRNA
XM_015470055.1	suppressed	CATSPER1	PREDICTED: Bos taurus cation channel, sperm associated 1 (CATSPER1), transcript variant X2, partial mRNA
XM_015470056.1	suppressed	KDM2A	PREDICTED: Bos taurus lysine (K)-specific demethylase 2A (KDM2A), transcript variant X2, mRNA
XM_015470057.1	suppressed	TBX10	PREDICTED: Bos taurus T-box 10 (TBX10), mRNA
XM_015470058.1	suppressed	LOC107131155	PREDICTED: Bos taurus reticulon-3 (LOC107131155), mRNA
XM_015470059.1	suppressed	FLRT1	PREDICTED: Bos taurus fibronectin leucine rich transmembrane protein 1 (FLRT1), transcript variant X1, mRNA
XM_015470060.1	suppressed	FLRT1	PREDICTED: Bos taurus fibronectin leucine rich transmembrane protein 1 (FLRT1), transcript variant X2, mRNA
XM_015470061.1	suppressed	LOC107131138	PREDICTED: Bos taurus fermitin family homolog 3 (LOC107131138), mRNA
XM_015470062.1	suppressed	KCNK4	PREDICTED: Bos taurus potassium channel, two pore domain subfamily K, member 4 (KCNK4), transcript variant X3, mRNA
XM_015470063.1	suppressed	KCNK4	PREDICTED: Bos taurus potassium channel, two pore domain subfamily K, member 4 (KCNK4), transcript variant X4, mRNA
XM_015470064.1	suppressed	TEX40	PREDICTED: Bos taurus testis expressed 40 (TEX40), transcript variant X1, mRNA
XM_015470065.1	suppressed	SLC22A11	PREDICTED: Bos taurus solute carrier family 22 (organic anion/urate transporter), member 11 (SLC22A11), mRNA
XM_015470066.1	suppressed	LOC100336747	PREDICTED: Bos taurus EH domain-containing protein 1 (LOC100336747), mRNA
XM_015470067.1	suppressed	C29H11orf85	PREDICTED: Bos taurus chromosome 29 open reading frame, human C11orf85 (C29H11orf85), mRNA
XM_015470068.1	suppressed	CNIH2	PREDICTED: Bos taurus cornichon family AMPA receptor auxiliary protein 2 (CNIH2), transcript variant X2, mRNA
XM_015470069.1	suppressed	LOC511138	PREDICTED: Bos taurus chromosome 29 open reading frame, human C11orf80 (LOC511138), mRNA
XM_015470070.1	suppressed	SPTBN2	PREDICTED: Bos taurus spectrin beta, non-erythrocytic 2 (SPTBN2), transcript variant X1, mRNA
XM_015470071.1	suppressed	SPTBN2	PREDICTED: Bos taurus spectrin beta, non-erythrocytic 2 (SPTBN2), transcript variant X2, mRNA
XM_015470072.1	suppressed	SPTBN2	PREDICTED: Bos taurus spectrin beta, non-erythrocytic 2 (SPTBN2), transcript variant X3, mRNA
XM_015470073.1	suppressed	SPTBN2	PREDICTED: Bos taurus spectrin beta, non-erythrocytic 2 (SPTBN2), transcript variant X4, mRNA
XM_015470074.1	suppressed	SPTBN2	PREDICTED: Bos taurus spectrin beta, non-erythrocytic 2 (SPTBN2), transcript variant X5, mRNA
XM_015470075.1	suppressed	LOC100848827	PREDICTED: Bos taurus lysine-specific demethylase 2A-like (LOC100848827), mRNA
