	species	stage	log10_total_counts	log10_detected	EN_Chronoage_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Multispecies_Multitissue_yugenediff	EN_Mortality_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Mouse_Multitissue_scaleddiff
4-cell_8	Cow	4-cell	6.243739302108769	4.05315530296188	0.06082483553951418	-0.09638544246255334	0.13414351282226944	
4-cell_9	Cow	4-cell	6.264663904432025	4.05361617440439	0.1429386520694472	0.0033192882839727517	-0.04830988627031782	
8-cell_1	Cow	8-cell	6.180958955457194	4.046456142412592	0.06272184167029886	-0.0026265062877576448	0.17970981351744922	
8-cell_10	Cow	8-cell	6.45754340860144	4.074816440645175	0.09129300504376639	-0.0251261601937717	-0.031628634649596726	
8-cell_11	Cow	8-cell	6.565052733664616	4.0707026597194735	0.08762178687155908	-0.019261302809283794	0.3650931396320456	
8-cell_12	Cow	8-cell	6.366107535577134	4.0417873189717515	0.11735821974972674	0.030546096398805532	-0.09588680611857356	
8-cell_2	Cow	8-cell	6.360156059175927	4.056790548274383	0.057579971899236526	-0.09674177600451844	0.2040224977053732	
8-cell_3	Cow	8-cell	6.2752012117897795	4.05307844348342	0.09026377117637813	-0.04142618860217425	0.18071163901858825	
8-cell_4	Cow	8-cell	6.184751035773692	4.058843414668761	0.1314196455260403	-0.04726825850623017	0.08644026555800823	
8-cell_5	Cow	8-cell	6.150710706089971	4.017534159437198	0.020109537845810627	-0.15870932702873106	0.14889621987320356	
8-cell_6	Cow	8-cell	6.196711880616243	4.063821056343712	0.0849848700732301	-0.07755665663818265	-0.021425151272550347	
8-cell_7	Cow	8-cell	6.383970033412536	4.062732363205394	0.1330919045711285	-0.04205238996947177	0.31826148449590064	
8-cell_8	Cow	8-cell	6.541158973068405	4.066921972093997	0.10224168643163237	-0.09824080801732488	0.23340720772568474	
8-cell_9	Cow	8-cell	6.534203216370815	4.055607651708711	0.08559718638717839	0.011534648821571156	0.17504115656182107	
Morula_1	Cow	Morula	6.136171804942558	4.0	-0.6353539333359534	-0.5916618478807426	-1.6158600646728478	
Morula_10	Cow	Morula	6.3335907392765485	4.0080463061583504	-0.5894111497966181	-0.6253702301979723	-1.9376685949246628	
Morula_11	Cow	Morula	6.3889534939391615	3.9955913242523535	-0.7180675633656399	-0.48658609501325367	-2.1338451248614883	
Morula_2	Cow	Morula	6.118946558831081	4.017075096376059	-0.666194152786518	-0.5460948258964721	-1.9036036665032547	
Morula_3	Cow	Morula	6.204525587098623	4.029424364058016	-0.6723685216033457	-0.5657973952567744	-1.9489660314215569	
Morula_4	Cow	Morula	6.176742501781191	4.014016229258364	-0.6805806164387754	-0.5511548393599762	-1.9698747617480832	
Morula_5	Cow	Morula	5.985525717221111	3.997517439414725	-0.5469850954114059	-0.510153555315498	-1.2722531344796542	
