	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
227394	-0.0031462402300806887	-0.0026614180343926923	-0.002126374034406833	0.0005350439999858591	Slco4c1	neither	2.6518583555598547
58994	-0.0038191031848101306	-0.0026544032989280902	-0.0028559754690363442	-0.000201572170108254	Smpd3	neither	1.9744124631537598
20216	0.004406065383223249	-0.0026483166728760305	-0.001093627536628522	0.0015546891362475084	Acsm3	neither	-1.0115548259950347
15936	0.0027293642901533694	-0.002637349774574845	-3.3690042086030717e-05	0.0026036597324888143	Ier2	neither	-1.5294201949822663
235587	0.04410807356116416	-0.0026212307286354163	0.023398049386007407	0.026019280114642822	Parp3	neither	-0.5280151577576468
50765	0.00320736773714898	-0.0025675676255296114	5.910297292036487e-05	0.0026266705984499764	Tfr2	neither	-0.7977282026745809
338365	0.01133159894829507	-0.0025598790427445433	-0.003589530527877391	-0.0010296514851328479	Slc41a2	neither	-0.31485078678137074
353282	-0.003042383817519038	-0.0025300086590711356	-0.0021439261305819064	0.0003860825284892292	Sfmbt2	neither	1.5998858505435114
78560	-0.002967628934067483	-0.002522116220989414	-0.0008499658259279724	0.0016721503950614413	Adgra2	neither	2.1916872115319603
12183	0.0036078097624650273	-0.0025079720380935156	-0.001070348246901248	0.0014376237911922676	Bpgm	neither	-1.7996125216492629
15200	-0.007828196778235425	-0.002481159758757049	-0.003353252934583157	-0.000872093175826108	Hbegf	neither	1.0669267685647332
66673	0.004833156195311877	-0.0024621079018104838	-0.004212029557223487	-0.0017499216554130032	Sorcs3	neither	-0.979698655086355
20856	0.004281615077938109	-0.00245812427777076	-0.0034204461097094895	-0.0009623218319387296	Stc2	neither	-1.1956510853529825
13809	0.0038047492033331477	-0.0024563203252362617	-0.002172651147584782	0.00028366917765147975	Enpep	neither	-0.5668248211547134
74895	0.005557780884729887	-0.0024545084906262182	-0.003313466873948942	-0.0008589583833227238	Ccdc181	neither	-1.0205396637646906
22042	-0.0018325817130129794	-0.002451284989395484	-0.0026108109809970057	-0.00015952599160152158	Tfrc	neither	4.196164986283265
74770	0.004442699360960437	-0.0024339393608149244	-0.0044811860809901875	-0.002047246720175263	Hhatl	neither	-0.6409386033834275
110417	-0.002415423518293338	-0.002432276787176869	-0.0016961914548980358	0.0007360853322788332	Pigh	neither	2.692695388670468
67795	0.0018137066172813855	-0.0024299739203608233	-0.0019281254236858433	0.0005018484966749801	Rnls	neither	-1.8648197112073597
83603	-0.004979974354810818	-0.002412934585741826	-0.004111916369226295	-0.0016989817834844687	Elovl4	neither	1.2294630482892714
18553	0.006875741527826854	-0.002408967103032533	-0.0007543113900033576	0.0016546557130291755	Pcsk6	neither	-0.6231766363578154
14229	0.011837692347406512	-0.0023854197075105963	-0.0013026412855841917	0.0010827784219264046	Fkbp5	neither	-0.38278670131741
12834	-0.007898773609728557	-0.0023822524102973747	0.0062569264677292315	0.008639178878026607	Col6a2	neither	0.4295934039420817
74393	-0.0051660066126887	-0.002359770829749284	-0.0026493789027500873	-0.00028960807300080355	Map10	neither	1.6595255464486984
66416	-0.006878979935543828	-0.002346110494525863	-0.002901872472322643	-0.0005557619777967798	Ndufa7	neither	1.0286634218191943
109254	0.002636072005570343	-0.00234185522950845	-0.0012364813399684247	0.0011053738895400252	Adtrp	neither	-1.842625870964832
231130	-0.0038553976596541065	-0.002333432013283299	-0.002102535441397117	0.0002308965718861816	Tnip2	neither	1.7373999515511749
