entrez_id	symbol	clock_coefficient	P1_log2FC_control_L2C_vs_E2C	P1_dynamic_gene_class	P1_contribution_control	P1_contribution_A485	P1_contribution_A485_DUX	P3_contribution_control	P3_contribution_Brg1_matKO	P3_log2FC_control_L2C_vs_E2C
16450	Jag2	0.0153344759666431	-0.8050366590561372	neither	-0.0050669301366993	-0.0050846989357031	-0.0069479593417552	-0.0052173128848178	-0.0065886827987859	-0.7245154017300078
12023	Barx2	0.0081905962649039	-0.6959125615624142	neither	-0.0050459684205404	-0.0056921893998284	-0.0055257485593503	-0.0062549832026858	-0.0060151315120144	-0.9183831412520724
74393	Map10	-0.0051660066126887	1.7621162344769234	neither	-0.0050187028124295	0.000382714586729	-0.000343440111364	-0.0023597708297492	-0.00264937890275	1.6595255464486984
75695	Rilpl1	-0.0139715720778124	0.8598833616506802	neither	-0.0050058000492121	0.0050201853362918	-0.0025740276204942	-0.0069997465497646	-0.0053163191442286	1.3568300418809704
30059	Timm10	-0.0035929002790336	3.744959870273554	neither	-0.0049685092760906	-0.0008925801500605	-0.0038872994706095	-0.0047913142064647	-0.0056916677533608	3.5765206602560227
93840	Vangl2	-0.0108332661984494	0.6249734479952664	neither	-0.0048617428433343	-0.0067024327714143	0.0027741090233451	0.0015377335601046	0.0043852332610189	0.1296853085815711
67728	Dph2	-0.0055209489354074	2.272426815784767	neither	-0.0048519122971712	-0.001438867190702	-0.0048493188362963	-0.0056586523199586	-0.004798307695172	3.0154618736702696
74020	Cpne4	0.0082013251748854	-0.842207194835499	neither	-0.0047800626180896	-0.0025995534120615	-0.0062254443753251	-0.0064031027447396	-0.0001452413847905	-0.6144297052508388
11881	Arsb	0.0063812477197798	-1.6914241927296598	neither	-0.0047547001635129	-0.0046991664166887	-0.0030883421876201	-0.0029077965122127	-0.001666093744704	-1.0283040285707938
74464	Zswim5	0.0089643429680888	-0.9879843360419982	neither	-0.004719871863155	-0.0004510419942681	-0.0035024417966079	-0.0040339951037714	-0.0033629273142446	-1.038520103075005
21356	Tapbp	-0.0121541664744577	0.7868631038096686	neither	-0.0047039421280879	-0.0021523138850286	-0.0013624340277585	-0.0072225084670212	-0.0022808439540511	1.7178197731139486
54381	Cpq	0.0096874100910201	-0.7015873671221705	neither	-0.0046848227847047	-0.001885082333817	-0.0050825053693082	-0.0002289495129448	-0.0018264521815281	0.1921199523752136
237711	Eml6	0.0059229663975063	-1.9055923790165223	neither	-0.0046359336970226	-0.0041206195991746	-0.0045503118823652	-0.0021445492553843	-0.0011176662937104	-0.8073488523473604
72486	Obi1	0.0056550793371337	-2.141299971374012	neither	-0.0045998767401048	-0.0060936452352376	-0.0050762118372456	-0.005636900779879	-0.0044698339396035	-2.5806249814498967
18976	Pomc	-0.0090411235816724	1.0800012130143943	neither	-0.0045175117341033	-0.0050059349433775	-0.0066177828182083	-0.0040400894472488	-0.005368234311407	0.4067406691393514
