dataset	analysis	species	sample_id	gsm	srr	stage	arm	variant	reference	clock_value
GSE225056	Gate 1	Pig	Day3_5	GSM7038235		Day3		V0	oocytes of the same species	-0.0170582212181517
GSE225056	Gate 1	Pig	Day3_6	GSM7038236		Day3		V0	oocytes of the same species	0.0125931883576311
GSE225056	Gate 1	Pig	Day3_7	GSM7038237		Day3		V0	oocytes of the same species	0.0938662926154808
GSE225056	Gate 1	Pig	Day3_8	GSM7038238		Day3		V0	oocytes of the same species	0.1098857348541775
GSE225056	Gate 1	Pig	Morula_1	GSM7038242		Morula		V0	oocytes of the same species	-0.1281114267398747
GSE225056	Gate 1	Pig	Morula_10	GSM7038251		Morula		V0	oocytes of the same species	-0.0583294784100191
GSE225056	Gate 1	Pig	Morula_11	GSM7038252		Morula		V0	oocytes of the same species	-0.1036363156383442
GSE225056	Gate 1	Pig	Morula_12	GSM7038253		Morula		V0	oocytes of the same species	-0.058042288171784
GSE225056	Gate 1	Pig	Morula_2	GSM7038243		Morula		V0	oocytes of the same species	-0.1799919258533214
GSE225056	Gate 1	Pig	Morula_3	GSM7038244		Morula		V0	oocytes of the same species	-0.0119940397193674
GSE225056	Gate 1	Pig	Morula_4	GSM7038245		Morula		V0	oocytes of the same species	0.0262785685498179
GSE225056	Gate 1	Pig	Morula_5	GSM7038246		Morula		V0	oocytes of the same species	-0.0919776922852417
GSE225056	Gate 1	Pig	Morula_6	GSM7038247		Morula		V0	oocytes of the same species	-0.1911339227254052
GSE225056	Gate 1	Pig	Morula_7	GSM7038248		Morula		V0	oocytes of the same species	0.0919136582052278
GSE225056	Gate 1	Pig	Morula_8	GSM7038249		Morula		V0	oocytes of the same species	-0.2422713420289569
GSE225056	Gate 1	Pig	Morula_9	GSM7038250		Morula		V0	oocytes of the same species	-0.1944936165147959
GSE225056	Gate 1	Pig	Oocyte_1	GSM7038173		Oocyte		V0	oocytes of the same species	-0.025932438767491
GSE225056	Gate 1	Pig	Oocyte_10	GSM7038181		Oocyte		V0	oocytes of the same species	0.0645284710613964
GSE225056	Gate 1	Pig	Oocyte_11	GSM7038182		Oocyte		V0	oocytes of the same species	0.0021449362637117
GSE225056	Gate 1	Pig	Oocyte_12	GSM7038183		Oocyte		V0	oocytes of the same species	0.0106087222642486
GSE225056	Gate 1	Pig	Oocyte_3	GSM7038174		Oocyte		V0	oocytes of the same species	0.0595303023377281
GSE225056	Gate 1	Pig	Oocyte_4	GSM7038175		Oocyte		V0	oocytes of the same species	0.1025145727242763
GSE225056	Gate 1	Pig	Oocyte_5	GSM7038176		Oocyte		V0	oocytes of the same species	0.0660808927184949
GSE225056	Gate 1	Pig	Oocyte_6	GSM7038177		Oocyte		V0	oocytes of the same species	-0.0365236070897975
GSE225056	Gate 1	Pig	Oocyte_7	GSM7038178		Oocyte		V0	oocytes of the same species	-0.0421392391847061
GSE225056	Gate 1	Pig	Oocyte_8	GSM7038179		Oocyte		V0	oocytes of the same species	-0.0514351218155877
GSE225056	Gate 1	Pig	Oocyte_9	GSM7038180		Oocyte		V0	oocytes of the same species	0.0468435545552928
GSE225056	Gate 1	Pig	Zygote_1	GSM7038184		Zygote		V0	oocytes of the same species	0.0559759124546962
GSE225056	Gate 1	Pig	Zygote_10	GSM7038193		Zygote		V0	oocytes of the same species	0.0679567732870181
GSE225056	Gate 1	Pig	Zygote_11	GSM7038194		Zygote		V0	oocytes of the same species	0.0987293625184198
GSE225056	Gate 1	Pig	Zygote_12	GSM7038195		Zygote		V0	oocytes of the same species	0.1600151101691509
GSE225056	Gate 1	Pig	Zygote_2	GSM7038185		Zygote		V0	oocytes of the same species	0.0818939304865041
GSE225056	Gate 1	Pig	Zygote_3	GSM7038186		Zygote		V0	oocytes of the same species	0.1310515317043616
GSE225056	Gate 1	Pig	Zygote_4	GSM7038187		Zygote		V0	oocytes of the same species	0.1455653023102445
GSE225056	Gate 1	Pig	Zygote_5	GSM7038188		Zygote		V0	oocytes of the same species	0.1740196441302493
